District,Block,CultLand,CropCultLand,CropTillageDate,CropTillageDepth,CropEstMethod,RcNursEstDate,SeedingSowingTransplanting,SeedlingsPerPit,TransplantingIrrigationHours,TransplantingIrrigationSource,TransplantingIrrigationPowerSource,TransIrriCost,StandingWater,Ganaura,CropOrgFYM,PCropSolidOrgFertAppMethod,NoFertilizerAppln,BasalDAP,BasalUrea,MineralFertAppMethod,1tdUrea,1appDaysUrea,2tdUrea,2appDaysUrea,MineralFertAppMethod.1,Harv_method,Harv_date,Harv_hand_rent,Threshing_date,Threshing_method,Residue_length,Residue_perc,Stubble_use,Acre,LandPreparationMethodFourWheelTracRotavator,LandPreparationMethodOther,LandPreparationMethodTractorPlough,LandPreparationMethodWetTillagePuddling,NursDetFactorIrrigWaterAvailability,NursDetFactorLabourAvailability,NursDetFactorPreMonsoonShowers,NursDetFactorSeedAvailability,TransDetFactorIrrigWaterAvailability,TransDetFactorLaborAvailability,TransDetFactorRainArrival,TransDetFactorSeedlingAge,OrgFertilizersGanaura,OrgFertilizersGhanajeevamrit,OrgFertilizersPoultryManure,OrgFertilizersPranamrit,OrgFertilizersVermiCompost,CropbasalFertsNPK,CropbasalFertsNPKS,CropbasalFertsOther,CropbasalFertsSSP,CropbasalFertsUrea,FirstTopDressFertNPKS,FirstTopDressFertOther,FirstTopDressFertSSP,FirstTopDressFertUrea
Jamui,Khaira,20,13,2022-07-24,4,Manual_PuddledLine,2022-07-03,2022-07-29,1.0,2.0,Boring,Diesel,200.0,2.0,,2.0,SoilApplied,3,6.0,,Broadcasting,8.0,23.0,6.0,63.0,Broadcasting,hand,2022-12-02,500.0,2022-12-28,hand,22,10,plowed_in_soil,0.2727272727272727,False,False,True,False,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Jamui,Khaira,25,25,2022-07-24,5,Manual_PuddledRandom,2022-07-08,2022-08-02,4.0,2.0,Canal,,,3.0,,,,3,5.0,,Broadcasting,7.0,23.0,8.0,65.0,Broadcasting,hand,2022-11-12,150.0,2022-12-20,machine,28,10,plowed_in_soil,0.2272727272727273,False,False,True,False,True,False,False,True,True,True,False,True,,,,,,False,False,False,False,False,False,False,False,True
Nalanda,Rajgir,30,30,2022-07-07,5,Manual_PuddledRandom,2022-06-24,2022-07-08,2.0,4.0,Canal,,,10.0,2.0,,Broadcasting,2,9.0,18.0,Broadcasting,9.0,38.0,,,Broadcasting,hand,2022-11-24,1200.0,2022-12-05,machine,28,10,plowed_in_soil,0.28125,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True
Vaishali,Mahua,15,10,2022-07-04,5,Manual_PuddledRandom,2022-06-20,2022-07-10,2.0,2.0,Boring,Diesel,,,,5.0,SoilApplied,2,15.0,,SoilApplied,9.0,30.0,,,SoilApplied,hand,2022-10-15,300.0,2022-10-25,hand,30,10,plowed_in_soil,0.1363636363636364,True,False,True,True,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Nalanda,Rajgir,30,10,2022-07-21,3,Manual_PuddledRandom,2022-06-24,2022-07-22,1.0,6.0,Boring,Electric,400.0,,,,,2,20.0,15.0,Broadcasting,15.0,40.0,,,Broadcasting,machine,2022-11-20,,2022-11-20,machine,26,40,plowed_in_soil,0.3125,True,False,True,True,True,False,False,True,True,True,False,True,,,,,,False,False,False,False,True,False,False,False,True
Gaya,Gurua,20,20,2022-07-27,6,Manual_PuddledRandom,2022-06-30,2022-08-03,2.0,4.0,Boring,Electric,100.0,3.0,1.0,1.0,Broadcasting,2,5.0,,SoilApplied,5.0,35.0,,,Broadcasting,hand,2022-12-13,600.0,2023-01-13,machine,30,10,plowed_in_soil,0.1851851851851852,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
Nalanda,Rajgir,36,28,2022-06-25,5,Manual_PuddledRandom,2022-07-07,2022-07-26,2.0,6.0,Boring,Electric,150.0,5.0,,1.0,Broadcasting,2,22.0,15.0,Broadcasting,30.0,45.0,,,Broadcasting,hand,2022-12-03,1500.0,2022-12-30,hand,27,10,plowed_in_soil,0.46875,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Gaya,Gurua,12,12,2022-07-06,5,Manual_PuddledRandom,2022-06-24,2022-07-25,4.0,,,,,,1.0,,SoilApplied,2,4.0,,SoilApplied,2.0,45.0,,,Broadcasting,hand,2022-12-19,120.0,2023-01-03,hand,28,10,plowed_in_soil,0.1481481481481481,True,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Vaishali,Garoul,15,15,2022-07-11,6,Manual_PuddledRandom,2022-06-18,2022-07-18,2.0,15.0,Boring,Diesel,1550.0,2.0,,,,2,,35.0,SoilApplied,38.0,15.0,,,Broadcasting,hand,2022-10-14,2000.0,2022-10-24,hand,27,10,plowed_in_soil,0.6818181818181818,True,False,False,False,False,False,False,True,False,False,False,True,,,,,,True,False,False,False,True,True,False,False,True
Vaishali,Mahua,2,2,2022-06-25,3,Manual_PuddledRandom,2022-06-28,2022-08-01,1.0,50.0,Boring,Electric,240.0,2.0,,1.0,SoilApplied,2,4.0,4.0,Broadcasting,4.0,25.0,,,Broadcasting,hand,2022-11-01,200.0,2022-11-12,hand,30,10,plowed_in_soil,0.0909090909090909,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
