District,Block,CultLand,CropCultLand,CropTillageDepth,CropEstMethod,SeedlingsPerPit,TransplantingIrrigationHours,TransplantingIrrigationSource,TransplantingIrrigationPowerSource,TransIrriCost,StandingWater,Ganaura,CropOrgFYM,PCropSolidOrgFertAppMethod,NoFertilizerAppln,BasalDAP,BasalUrea,MineralFertAppMethod,1tdUrea,1appDaysUrea,2tdUrea,2appDaysUrea,MineralFertAppMethod.1,Harv_method,Harv_hand_rent,Threshing_method,Residue_length,Residue_perc,Stubble_use,Acre,LandPreparationMethodFourWheelTracRotavator,LandPreparationMethodOther,LandPreparationMethodTractorPlough,LandPreparationMethodWetTillagePuddling,NursDetFactorIrrigWaterAvailability,NursDetFactorLabourAvailability,NursDetFactorPreMonsoonShowers,NursDetFactorSeedAvailability,TransDetFactorIrrigWaterAvailability,TransDetFactorLaborAvailability,TransDetFactorRainArrival,TransDetFactorSeedlingAge,OrgFertilizersGanaura,OrgFertilizersGhanajeevamrit,OrgFertilizersPoultryManure,OrgFertilizersPranamrit,OrgFertilizersVermiCompost,CropbasalFertsNPK,CropbasalFertsNPKS,CropbasalFertsOther,CropbasalFertsSSP,CropbasalFertsUrea,FirstTopDressFertNPKS,FirstTopDressFertOther,FirstTopDressFertSSP,FirstTopDressFertUrea,CropTillageDateYear,CropTillageDateDayOfYearSin,CropTillageDateDayOfYearCos,RcNursEstDateYear,RcNursEstDateDayOfYearSin,RcNursEstDateDayOfYearCos,SeedingSowingTransplantingYear,SeedingSowingTransplantingDayOfYearSin,SeedingSowingTransplantingDayOfYearCos,Harv_dateYear,Harv_dateDayOfYearSin,Harv_dateDayOfYearCos,Threshing_dateYear,Threshing_dateDayOfYearSin,Threshing_dateDayOfYearCos,Yield
Nalanda,Noorsarai,45,40,5,Manual_PuddledRandom,2.0,5.0,Boring,Electric,200.0,2.0,,,,2,,20.0,Broadcasting,15.0,18.0,,,Broadcasting,machine,,machine,30,40,plowed_in_soil,0.3125,True,False,True,False,True,False,False,True,True,True,True,True,,,,,,False,False,False,False,True,False,False,False,True,2022,-0.3131070409358267,-0.9497178427914317,2022,0.07738647923346301,-0.9970011699250151,2022,-0.3294084822245302,-0.9441875088341994,2022,-0.6994583270516471,0.7146733860429608,2022,-0.6994583270516471,0.7146733860429608,600
Nalanda,Rajgir,26,26,5,Manual_PuddledRandom,2.0,5.0,Boring,Electric,125.0,3.0,,,,2,15.0,10.0,Broadcasting,20.0,39.0,,,Broadcasting,hand,3.0,machine,24,10,plowed_in_soil,0.3125,True,False,True,True,True,True,True,True,True,True,True,True,,,,,,False,False,False,False,True,False,False,False,True,2022,-0.2802306751992161,-0.9599326896597445,2022,0.19667288979357647,-0.980469160361632,2022,-0.3131070409358267,-0.9497178427914317,2022,-0.5808002734538014,0.8140460935082175,2022,-0.12020804489935275,0.9927487224577402,600
Gaya,Gurua,10,10,6,Manual_PuddledRandom,2.0,4.0,Boring,Electric,80.0,2.0,1.0,1.0,SoilApplied,2,4.0,,SoilApplied,5.0,65.0,,,RootApplication,hand,480.0,machine,30,10,plowed_in_soil,0.1481481481481481,True,False,True,False,True,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2022,0.02581844022713308,-0.9996666485105112,2022,0.19667288979357647,-0.980469160361632,2022,-0.6680638642135333,-0.7441039398713608,2022,-0.32126966169236515,0.946987753076075,2023,0.1882267098432442,0.9821256058680006,225
Gaya,Gurua,15,15,6,Manual_PuddledRandom,2.0,,,,,,1.0,,SoilApplied,2,6.0,3.0,Broadcasting,5.0,5.0,,,Broadcasting,hand,240.0,hand,26,10,plowed_in_soil,0.2222222222222222,True,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,2022,0.26366549272800704,-0.9646141756912435,2022,0.24702218048093552,-0.9690098257244062,2022,-0.2636654927280072,-0.9646141756912435,2022,-0.4787338401157883,0.8779600847008883,2022,-0.034421611622745804,0.9994074007397048,468
Nalanda,Noorsarai,60,60,4,Manual_PuddledRandom,2.0,9.0,Boring,Electric,300.0,2.0,,,,2,15.0,30.0,Broadcasting,30.0,26.0,,,Broadcasting,machine,,machine,24,40,plowed_in_soil,0.46875,False,False,True,True,True,False,False,True,True,True,True,True,,,,,,False,False,False,False,True,False,False,False,True,2022,-0.2967128192734901,-0.9549667548552553,2022,0.1797665857255624,-0.9837092937736097,2022,-0.3131070409358267,-0.9497178427914317,2022,-0.5086709438521042,0.8609610158889945,2022,-0.4787338401157883,0.8779600847008883,550
Vaishali,Garoul,10,5,6,Manual_PuddledLine,1.0,1.0,Boring,Electric,,3.0,,5.0,SoilApplied,2,6.0,,SoilApplied,6.0,30.0,,,Broadcasting,hand,600.0,hand,30,10,plowed_in_soil,0.1363636363636364,False,False,True,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,2022,-0.008606996888688009,-0.9999629591162655,2022,0.28023067519921585,-0.9599326896597447,2022,-0.07738647923346322,-0.9970011699250151,2022,-0.9209712877166346,0.38963044953078774,2022,-0.8311706263658079,0.5560174366570446,205
Jamui,Khaira,12,12,3,Manual_PuddledRandom,4.0,1.0,Canal,,,6.0,1.0,,SoilApplied,3,3.0,,Broadcasting,4.0,28.0,6.0,67.0,Broadcasting,hand,130.0,machine,25,10,plowed_in_soil,0.1363636363636364,False,False,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2022,-0.3617137307297674,-0.9322892131745134,2022,-0.060213277365792774,-0.9981855344718586,2022,-0.47115950767386394,-0.8820480249558535,2022,-0.8311706263658079,0.5560174366570446,2022,-0.38566340624360745,0.9226395488404875,270
Nalanda,Rajgir,80,80,4,Broadcasting,,5.0,Boring,Electric,,3.0,,,,2,15.0,8.0,Broadcasting,15.0,35.0,,,Broadcasting,machine,,hand,25,40,plowed_in_soil,0.25,True,False,False,False,,,,,,,,,,,,,,False,False,False,False,True,False,False,False,True,2022,0.07738647923346301,-0.9970011699250151,,,,2022,-0.3456123126707333,-0.9383773917408642,2022,-0.4327755925504317,0.9015016841318838,2022,-0.41719360261231697,0.9088176373395028,490
Jamui,Khaira,25,25,4,Manual_PuddledRandom,4.0,2.0,Canal,,,5.0,,2.0,SoilApplied,3,5.0,,Broadcasting,5.0,20.0,7.0,58.0,Broadcasting,hand,130.0,machine,26,10,plowed_in_soil,0.2272727272727273,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2022,-0.37770796520396466,-0.9259247771938499,2022,-0.12874817745258066,-0.99167731989929,2022,-0.5160623910158526,-0.8565509959010037,2022,-0.8013610881746769,0.5981809144059159,2022,-0.27195815753410524,0.9623090774541487,425
Nalanda,Noorsarai,20,10,5,Manual_PuddledRandom,3.0,2.0,Boring,Electric,100.0,1.0,,,,2,,10.0,Broadcasting,5.0,20.0,,,Broadcasting,hand,80.0,hand,22,10,plowed_in_soil,0.15625,False,False,False,True,True,False,False,True,True,True,True,True,,,,,,False,False,False,False,True,False,False,False,True,2022,-0.2135209154397959,-0.9769384927771817,2022,0.07738647923346301,-0.9970011699250151,2022,-0.24702218048093527,-0.9690098257244063,2022,-0.8840675099433637,0.46735921715800205,2022,-0.7236440382959123,0.690173388242972,300
