District,Block,CultLand,CropCultLand,CropTillageDate,CropTillageDepth,CropEstMethod,RcNursEstDate,SeedingSowingTransplanting,SeedlingsPerPit,TransplantingIrrigationHours,TransplantingIrrigationSource,TransplantingIrrigationPowerSource,TransIrriCost,StandingWater,Ganaura,CropOrgFYM,PCropSolidOrgFertAppMethod,NoFertilizerAppln,BasalDAP,BasalUrea,MineralFertAppMethod,1tdUrea,1appDaysUrea,2tdUrea,2appDaysUrea,MineralFertAppMethod.1,Harv_method,Harv_date,Harv_hand_rent,Threshing_date,Threshing_method,Residue_length,Residue_perc,Stubble_use,Acre,LandPreparationMethodFourWheelTracRotavator,LandPreparationMethodOther,LandPreparationMethodTractorPlough,LandPreparationMethodWetTillagePuddling,NursDetFactorIrrigWaterAvailability,NursDetFactorLabourAvailability,NursDetFactorPreMonsoonShowers,NursDetFactorSeedAvailability,TransDetFactorIrrigWaterAvailability,TransDetFactorLaborAvailability,TransDetFactorRainArrival,TransDetFactorSeedlingAge,OrgFertilizersGanaura,OrgFertilizersGhanajeevamrit,OrgFertilizersPoultryManure,OrgFertilizersPranamrit,OrgFertilizersVermiCompost,CropbasalFertsNPK,CropbasalFertsNPKS,CropbasalFertsOther,CropbasalFertsSSP,CropbasalFertsUrea,FirstTopDressFertNPKS,FirstTopDressFertOther,FirstTopDressFertSSP,FirstTopDressFertUrea,Yield
Nalanda,Rajgir,20.0,10.0,2022-07-12,6.0,Manual_PuddledRandom,2022-06-20,2022-07-14,2.0,2.0,Boring,Electric,120.0,3.0,1.0,,SoilApplied,2.0,6.0,3.0,Broadcasting,8.0,23.0,,,Broadcasting,hand,2022-11-24,420.0,2022-12-22,machine,25.0,10.0,plowed_in_soil,0.1875,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,420.0
Gaya,Gurua,20.0,20.0,2022-07-23,5.0,Manual_PuddledRandom,2022-06-20,2022-07-30,2.0,6.0,Boring,Electric,150.0,3.0,1.0,,SoilApplied,2.0,10.0,,Broadcasting,20.0,45.0,,,Broadcasting,hand,2022-11-20,120.0,2022-12-28,machine,22.0,10.0,plowed_in_soil,0.3703703703703703,True,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,700.0
Vaishali,Chehrakala,25.0,25.0,2022-07-21,4.0,Manual_PuddledRandom,2022-06-24,2022-07-25,1.0,2.0,Boring,Electric,450.0,,3.0,,,2.0,12.0,12.0,Broadcasting,12.0,25.0,,,Broadcasting,hand,2022-11-01,200.0,2022-11-28,machine,25.0,10.0,plowed_in_soil,0.2727272727272727,True,False,True,True,True,True,False,False,True,False,False,True,True,,,,,False,False,False,False,True,False,False,False,True,700.0
Jamui,Jamui,30.0,20.0,2022-07-24,4.0,Manual_PuddledRandom,2022-07-26,2022-07-28,4.0,8.0,Boring,Electric,900.0,1.0,3.0,,Broadcasting,2.0,15.0,15.0,Broadcasting,15.0,15.0,,,Broadcasting,hand,2022-11-16,500.0,2023-01-23,machine,25.0,10.0,plowed_in_soil,0.4545454545454545,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,600.0
Jamui,Khaira,25.0,25.0,2022-07-25,3.0,Manual_PuddledRandom,2022-07-04,2022-07-30,3.0,2.0,Boring,Electric,,4.0,,,,2.0,10.0,10.0,Broadcasting,10.0,30.0,,,Broadcasting,hand,2022-11-18,200.0,2022-12-24,machine,26.0,10.0,plowed_in_soil,0.2272727272727273,False,False,True,False,True,False,False,True,True,False,True,True,,,,,,False,False,False,False,True,False,False,False,True,400.0
Nalanda,Rajgir,20.0,20.0,2022-07-10,3.0,Manual_PuddledRandom,2022-06-13,2022-07-16,1.0,10.0,Boring,Electric,1500.0,,,,,1.0,40.0,65.0,Broadcasting,,,,,,hand,2022-10-20,1500.0,2022-10-30,machine,25.0,10.0,plowed_in_soil,1.0,False,False,True,False,True,False,True,True,True,False,False,False,,,,,,False,False,False,False,True,,,,,3400.0
Jamui,Khaira,10.0,10.0,2022-07-21,3.0,Manual_PuddledRandom,2022-07-06,2022-07-28,1.0,2.0,Boring,Electric,200.0,3.0,,2.0,Broadcasting,3.0,10.0,,Broadcasting,6.0,25.0,6.0,65.0,Broadcasting,hand,2022-11-10,300.0,2022-12-16,hand,27.0,10.0,plowed_in_soil,0.1363636363636364,False,False,True,False,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,240.0
Gaya,Gurua,10.0,10.0,2022-07-02,4.0,Manual_PuddledRandom,2022-06-27,2022-07-22,1.0,1.0,Boring,Electric,150.0,2.0,,2.0,SoilApplied,3.0,9.0,,Broadcasting,9.0,22.0,6.0,46.0,Broadcasting,hand,2022-12-01,120.0,2022-12-22,hand,30.0,10.0,plowed_in_soil,0.1875,True,False,True,False,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,6.0
Nalanda,Rajgir,10.0,10.0,2022-07-16,6.0,Manual_PuddledRandom,2022-06-15,2022-07-17,2.0,5.0,Boring,Electric,125.0,2.0,,,,2.0,5.0,10.0,Broadcasting,10.0,30.0,,,Broadcasting,hand,2022-11-18,400.0,2022-12-10,machine,25.0,10.0,plowed_in_soil,0.1875,True,False,True,False,True,True,True,True,True,True,True,True,,,,,,False,False,False,False,True,False,False,False,True,322.0
Jamui,Khaira,20.0,20.0,2022-07-20,4.0,Manual_PuddledRandom,2022-07-09,2022-08-05,3.0,2.0,Canal,,,3.0,,3.0,SoilApplied,3.0,10.0,,Broadcasting,10.0,28.0,10.0,65.0,Broadcasting,hand,2022-11-09,150.0,2022-12-02,machine,25.0,10.0,plowed_in_soil,0.2272727272727273,False,False,True,False,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,400.0
Vaishali,Mahua,10.0,5.0,2022-06-25,4.0,Manual_PuddledRandom,2022-07-08,2022-08-02,1.0,3.0,Boring,Electric,300.0,2.0,1.0,,SoilApplied,3.0,6.0,,Broadcasting,9.0,25.0,6.0,65.0,Broadcasting,hand,2022-11-05,600.0,2022-11-15,hand,30.0,10.0,plowed_in_soil,0.1363636363636364,True,False,True,False,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,10.0
Jamui,Khaira,15.0,15.0,2022-07-20,3.0,Manual_PuddledRandom,2022-07-01,2022-07-22,1.0,2.0,Boring,Electric,150.0,2.0,,2.0,SoilApplied,3.0,6.0,,Broadcasting,6.0,25.0,6.0,65.0,Broadcasting,hand,2022-11-12,150.0,2022-12-15,machine,21.0,10.0,plowed_in_soil,0.1818181818181818,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,360.0
Nalanda,Rajgir,90.0,60.0,2022-07-13,5.0,Manual_PuddledRandom,2022-07-09,2022-07-18,2.0,6.0,Boring,Electric,180.0,2.0,,,,2.0,15.0,15.0,Broadcasting,15.0,35.0,,,Broadcasting,hand,2022-11-16,900.0,2023-01-09,machine,24.0,10.0,plowed_in_soil,0.3125,True,False,True,True,True,True,True,True,True,True,True,True,,,,,,False,False,False,False,True,False,False,False,True,660.0
Jamui,Jamui,8.0,8.0,2022-07-25,4.0,Manual_PuddledRandom,2022-07-03,2022-08-02,4.0,5.0,Boring,Electric,500.0,3.0,,,,1.0,8.0,8.0,Broadcasting,,,,,,hand,2022-11-22,200.0,2023-01-15,machine,25.0,10.0,plowed_in_soil,0.1818181818181818,False,False,True,False,True,False,True,False,False,False,True,True,,,,,,False,False,False,False,True,,,,,320.0
Jamui,Jamui,25.0,20.0,2022-07-23,4.0,Manual_PuddledRandom,2022-06-28,2022-07-30,5.0,10.0,Boring,Electric,1000.0,10.0,,,,2.0,10.0,,Broadcasting,12.0,28.0,,,Broadcasting,hand,2022-12-02,800.0,2023-01-22,machine,28.0,10.0,plowed_in_soil,0.4545454545454545,False,False,True,False,True,False,False,False,False,False,True,True,,,,,,False,False,False,False,False,False,False,False,True,2210.0
Nalanda,Rajgir,60.0,50.0,2022-07-16,5.0,Manual_PuddledRandom,2022-06-27,2022-07-17,2.0,6.0,Boring,Electric,175.0,4.0,1.0,,SoilApplied,2.0,15.0,15.0,Broadcasting,22.0,45.0,,,Broadcasting,hand,2022-11-24,1500.0,2022-12-06,machine,25.0,10.0,plowed_in_soil,0.46875,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,10.0
Nalanda,Rajgir,30.0,25.0,2022-07-04,3.0,Manual_PuddledRandom,2022-06-14,2022-07-05,2.0,5.0,Boring,Electric,200.0,,,,,2.0,10.0,20.0,Broadcasting,20.0,42.0,,,Broadcasting,machine,2022-11-23,,2022-11-30,machine,25.0,40.0,plowed_in_soil,0.3125,True,False,True,False,True,False,False,True,True,False,True,True,,,,,,False,False,False,False,True,False,False,False,True,480.0
