,District,Block,CultLand,CropCultLand,CropTillageDepth,CropEstMethod,SeedlingsPerPit,TransplantingIrrigationHours,TransplantingIrrigationSource,TransplantingIrrigationPowerSource,TransIrriCost,StandingWater,Ganaura,CropOrgFYM,PCropSolidOrgFertAppMethod,NoFertilizerAppln,BasalDAP,BasalUrea,MineralFertAppMethod,1tdUrea,1appDaysUrea,2tdUrea,2appDaysUrea,MineralFertAppMethod.1,Harv_method,Harv_hand_rent,Threshing_method,Residue_length,Residue_perc,Stubble_use,Acre,CropTillageDateYear,CropTillageDateDayOfYearSin,CropTillageDateDayOfYearCos,RcNursEstDateYear,RcNursEstDateDayOfYearSin,RcNursEstDateDayOfYearCos,SeedingSowingTransplantingYear,SeedingSowingTransplantingDayOfYearSin,SeedingSowingTransplantingDayOfYearCos,Harv_dateYear,Harv_dateDayOfYearSin,Harv_dateDayOfYearCos,Threshing_dateYear,Threshing_dateDayOfYearSin,Threshing_dateDayOfYearCos,Yield,LandPreparationMethod,NursDetFactor,TransDetFactor,OrgFertilizers,CropbasalFerts,FirstTopDressFert
0,Gaya,Gurua,10.0,10.0,6.0,Manual_PuddledRandom,1.0,1.0,Boring,Electric,100.0,2.0,4.0,,SoilApplied,2.0,6.0,,Broadcasting,6.0,25.0,,,Broadcasting,hand,400.0,machine,30.0,10.0,plowed_in_soil,0.18181818181818,2022.0,-0.0258184402271323,-0.9996666485105112,2022.0,0.1116590071216951,-0.9955213724144752,2022.0,-0.5160623910158526,-0.8653072543632061,2022.0,-0.661634618242279,0.5702422926917867,2022.0,-0.6744436188329457,0.9158642882672868,450.0,TractorPlough,IrrigWaterAvailability LabourAvailability SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura,,Urea
1,Nalanda,Noorsarai,22.0,22.0,4.0,Manual_PuddledRandom,2.0,1.0,Boring,Electric,100.0,3.0,1.0,,SoilApplied,2.0,10.0,10.0,Broadcasting,10.0,20.0,,,Broadcasting,hand,220.0,hand,25.0,10.0,plowed_in_soil,0.375,2022.0,-0.4093559588156211,-0.9441875088341994,2022.0,0.060213277365793,-0.9981855344718586,2022.0,-0.3131070409358267,-0.9441875088341994,2022.0,-0.4937755501599774,0.7146733860429608,2022.0,-0.4635502709028512,0.9821256058680006,520.0,FourWheelTracRotavator TractorPlough WetTillagePuddling,IrrigWaterAvailability LabourAvailability PreMonsoonShowers,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura,,Urea
2,Nalanda,Rajgir,40.0,40.0,5.0,Manual_PuddledRandom,2.0,5.0,Boring,Electric,400.0,3.0,,,,2.0,10.0,,Broadcasting,15.0,25.0,,,Broadcasting,hand,300.0,machine,30.0,40.0,plowed_in_soil,0.3125,2022.0,-0.4093559588156211,-0.9441875088341994,2022.0,0.1797665857255624,-0.986657932891657,2022.0,-0.4405187843504952,-0.828770087174504,2022.0,-0.9338372288229252,0.7383263540031063,2022.0,-0.1202080448993527,0.9905324521322229,100.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability,Ganaura Ghanajeevamrit PoultryManure Pranamrit VermiCompost,,Urea
3,Gaya,Wazirganj,15.0,15.0,4.0,Manual_PuddledRandom,2.0,4.0,Boring,Electric,300.0,3.0,6.0,,Broadcasting,2.0,9.0,,Broadcasting,9.0,29.0,,,Broadcasting,hand,300.0,machine,25.0,10.0,plowed_in_soil,0.22727272727273,2022.0,-0.3294084822245302,-0.9441875088341994,2022.0,0.185665857255624,-0.9646141756912436,2022.0,-0.3617137307297674,-0.8900275764346766,2022.0,-0.8115390590073611,0.5416278206559811,2023.0,-0.154308820664281,0.9880226656636976,200.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura,,Urea
4,Jamui,Jamui,15.0,15.0,4.0,Manual_PuddledRandom,2.0,2.0,Boring,Electric,400.0,8.0,,,,1.0,15.0,15.0,Broadcasting,,,,,,hand,1000.0,machine,26.0,10.0,plowed_in_soil,0.3125,2022.0,-0.4093559588156211,-0.9383773917408642,2022.0,0.060213277365793,-0.9981855344718586,2022.0,-0.7856498550787144,-0.64534811322955,2022.0,-0.4482293417404106,0.9226395488404876,2022.0,-0.8996308696522434,0.7611042586607742,400.0,TractorPlough,IrrigWaterAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability RainArrival SeedlingAge,Ganaura Ghanajeevamrit PoultryManure Pranamrit VermiCompost,Urea,NPKS Other SSP Urea
5,Gaya,Gurua,20.0,20.0,4.0,Manual_PuddledRandom,2.0,5.0,Boring,Electric,400.0,1.0,4.0,,Broadcasting,2.0,,,Broadcasting,15.0,45.0,,,Broadcasting,hand,300.0,hand,29.0,10.0,plowed_in_soil,0.2272727272727273,2022.0,-0.0773864792334632,-0.9955213724144752,2022.0,-0.1457991969198744,-0.9837092937736096,2022.0,-0.5595892624101763,-0.828770087174504,2022.0,-0.6870527672236675,0.6648553979642867,2022.0,-0.9141279881853336,0.2760969730974688,6.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,Ganaura,,Urea
6,Nalanda,Rajgir,20.0,10.0,4.0,Manual_PuddledRandom,2.0,2.0,Boring,Electric,500.0,2.0,,,Broadcasting,3.0,10.0,10.0,Broadcasting,20.0,25.0,,,Broadcasting,hand,200.0,hand,25.0,10.0,plowed_in_soil,0.0909090909090909,2022.0,0.1116590071216951,-0.993746580436178,2022.0,0.025818440227133,-0.9769384927771816,2022.0,-0.3935902766564664,-0.980469160361632,2022.0,-0.4635502709028512,0.7383263540031063,2022.0,-0.8996308696522434,0.7611042586607742,120.0,FourWheelTracRotavator TractorPlough WetTillagePuddling,IrrigWaterAvailability LabourAvailability PreMonsoonShowers,IrrigWaterAvailability RainArrival SeedlingAge,,Urea,Urea
7,Jamui,Khaira,30.0,30.0,5.0,Manual_PuddledRandom,2.0,1.0,Boring,Electric,400.0,1.0,,,Broadcasting,2.0,4.0,,Broadcasting,2.0,30.0,,,Broadcasting,hand,560.0,machine,22.0,10.0,plowed_in_soil,0.13636363636364,2022.0,-0.4093559588156211,-0.9497178427914316,2022.0,0.025818440227133,-0.9996666485105112,2022.0,-0.5160623910158526,-0.8565509959010037,2022.0,-0.3536761221763721,0.2428497220959358,2022.0,-0.2553532951161881,0.9158642882672872,238.0,TractorPlough,IrrigWaterAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,,,Urea
8,Vaishali,Mahua,8.0,8.0,5.0,Manual_PuddledRandom,2.0,4.0,Boring,Electric,500.0,2.0,,,Broadcasting,3.0,6.0,,Broadcasting,6.0,25.0,6.0,60.0,Broadcasting,hand,600.0,machine,28.0,10.0,plowed_in_soil,0.25,2022.0,-0.2303056702306119,-0.9383773917408642,2022.0,0.025818440227133,-0.9996666485105112,2022.0,-0.4405187843504952,-0.8977433935342336,2022.0,-0.6744436188329457,0.5702422926917867,2022.0,-0.6744436188329457,0.726607524768565,500.0,FourWheelTracRotavator TractorPlough,IrrigWaterAvailability SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,,,Urea
9,Jamui,Jamui,60.0,60.0,4.0,Manual_PuddledRandom,2.0,3.0,Boring,Electric,1000.0,3.0,,,SoilApplied,3.0,10.0,10.0,Broadcasting,5.0,25.0,,,Broadcasting,hand,1000.0,machine,25.0,10.0,plowed_in_soil,0.22727272727273,2022.0,-0.3294084822245302,-0.9383773917408642,2022.0,0.060213277365793,-0.9981855344718586,2022.0,-0.455906693508459,-0.8900275764346766,2022.0,-0.8214765533024145,0.5702422926917867,2022.0,-0.5667017562911184,0.6387494220515268,1000.0,TractorPlough WetTillagePuddling,IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability,IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge,,,Urea
