ID,District,Block,CultLand,CropCultLand,LandPreparationMethod,CropTillageDate,CropTillageDepth,CropEstMethod,RcNursEstDate,SeedingSowingTransplanting,SeedlingsPerPit,NursDetFactor,TransDetFactor,TransplantingIrrigationHours,TransplantingIrrigationSource,TransplantingIrrigationPowerSource,TransIrriCost,StandingWater,OrgFertilizers,Ganaura,CropOrgFYM,PCropSolidOrgFertAppMethod,NoFertilizerAppln,CropbasalFerts,BasalDAP,BasalUrea,MineralFertAppMethod,FirstTopDressFert,1tdUrea,1appDaysUrea,2tdUrea,2appDaysUrea,MineralFertAppMethod,Harv_method,Harv_date,Harv_hand_rent,Threshing_date,Threshing_method,Residue_length,Residue_perc,Stubble_use,Acre,Yield
ID_GTFAC7PEVWQ9,Nalanda,Noorsarai,45,40,TractorPlough FourWheelTracRotavator,2022-07-20,5,Manual_PuddledRandom,2022-06-27,2022-07-21,2.0,CalendarDate IrrigWaterAvailability SeedAvailability,CalendarDate SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability,5.0,Boring,Electric,200.0,2.0,,,,,2,Urea,,20.0,Broadcasting,Urea,15.0,18.0,,,Broadcasting,machine,2022-11-16,,2022-11-16,machine,30,40,plowed_in_soil,0.3125,600
ID_TK40ARLSPOKS,Nalanda,Rajgir,26,26,WetTillagePuddling TractorPlough FourWheelTracRotavator,2022-07-18,5,Manual_PuddledRandom,2022-06-20,2022-07-20,2.0,CalendarDate PreMonsoonShowers IrrigWaterAvailability LabourAvailability SeedAvailability,CalendarDate SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability,5.0,Boring,Electric,125.0,3.0,,,,,2,DAP Urea,15.0,10.0,Broadcasting,Urea,20.0,39.0,,,Broadcasting,hand,2022-11-25,3.0,2022-12-24,machine,24,10,plowed_in_soil,0.3125,600
ID_1FJY2CRIMLZZ,Gaya,Gurua,10,10,TractorPlough FourWheelTracRotavator,2022-06-30,6,Manual_PuddledRandom,2022-06-20,2022-08-13,2.0,PreMonsoonShowers IrrigWaterAvailability LabourAvailability,SeedlingAge IrrigWaterAvailability LaborAvailability,4.0,Boring,Electric,80.0,2.0,Ganaura FYM,1.0,1.0,SoilApplied,2,DAP,4.0,,SoilApplied,Urea,5.0,65.0,,,RootApplication,hand,2022-12-12,480.0,2023-01-11,machine,30,10,plowed_in_soil,0.1481481481481481,225
ID_I3IPXS4DB7NE,Gaya,Gurua,15,15,TractorPlough FourWheelTracRotavator,2022-06-16,6,Manual_PuddledRandom,2022-06-17,2022-07-17,2.0,CalendarDate PreMonsoonShowers IrrigWaterAvailability LabourAvailability SeedAvailability,CalendarDate SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability,,,,,,Ganaura,1.0,,SoilApplied,2,DAP Urea,6.0,3.0,Broadcasting,Urea,5.0,5.0,,,Broadcasting,hand,2022-12-02,240.0,2022-12-29,hand,26,10,plowed_in_soil,0.2222222222222222,468
ID_4T8YQWXWHB4A,Nalanda,Noorsarai,60,60,TractorPlough WetTillagePuddling,2022-07-19,4,Manual_PuddledRandom,2022-06-21,2022-07-20,2.0,CalendarDate IrrigWaterAvailability SeedAvailability,SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability,9.0,Boring,Electric,300.0,2.0,,,,,2,Urea DAP,15.0,30.0,Broadcasting,Urea,30.0,26.0,,,Broadcasting,machine,2022-11-30,,2022-12-02,machine,24,40,plowed_in_soil,0.46875,550
ID_W5MM9H353RL9,Vaishali,Garoul,10,5,TractorPlough,2022-07-02,6,Manual_PuddledLine,2022-06-15,2022-07-06,1.0,CalendarDate SeedAvailability,CalendarDate SeedlingAge RainArrival IrrigWaterAvailability,1.0,Boring,Electric,,3.0,FYM,,5.0,SoilApplied,2,DAP Other,6.0,,SoilApplied,Urea,6.0,30.0,,,Broadcasting,hand,2022-10-24,600.0,2022-11-04,hand,30,10,plowed_in_soil,0.1363636363636364,205
ID_6O44Z25H1JAV,Jamui,Khaira,12,12,TractorPlough,2022-07-23,3,Manual_PuddledRandom,2022-07-05,2022-07-30,4.0,CalendarDate SeedAvailability,CalendarDate SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability,1.0,Canal,,,6.0,Ganaura,1.0,,SoilApplied,3,DAP,3.0,,Broadcasting,Urea,4.0,28.0,6.0,67.0,Broadcasting,hand,2022-11-04,130.0,2022-12-08,machine,25,10,plowed_in_soil,0.1363636363636364,270
ID_VRI9LEL2W3DR,Nalanda,Rajgir,80,80,FourWheelTracRotavator,2022-06-27,4,Broadcasting,,2022-07-22,,,,5.0,Boring,Electric,,3.0,,,,,2,DAP Urea,15.0,8.0,Broadcasting,Urea,15.0,35.0,,,Broadcasting,machine,2022-12-05,,2022-12-06,hand,25,40,plowed_in_soil,0.25,490
ID_6YA9Y09O55LE,Jamui,Khaira,25,25,TractorPlough,2022-07-24,4,Manual_PuddledRandom,2022-07-09,2022-08-02,4.0,CalendarDate SeedAvailability,CalendarDate SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability,2.0,Canal,,,5.0,FYM,,2.0,SoilApplied,3,DAP,5.0,,Broadcasting,Urea,5.0,20.0,7.0,58.0,Broadcasting,hand,2022-11-07,130.0,2022-12-15,machine,26,10,plowed_in_soil,0.2272727272727273,425
ID_EDA8RK1CP60K,Nalanda,Noorsarai,20,10,WetTillagePuddling,2022-07-14,5,Manual_PuddledRandom,2022-06-27,2022-07-16,3.0,CalendarDate IrrigWaterAvailability SeedAvailability,CalendarDate RainArrival IrrigWaterAvailability LaborAvailability SeedlingAge,2.0,Boring,Electric,100.0,1.0,,,,,2,Urea,,10.0,Broadcasting,Urea,5.0,20.0,,,Broadcasting,hand,2022-10-29,80.0,2022-11-14,hand,22,10,plowed_in_soil,0.15625,300
