District,Block,CultLand,CropCultLand,CropTillageDate,CropTillageDepth,CropEstMethod,RcNursEstDate,SeedingSowingTransplanting,SeedlingsPerPit,TransplantingIrrigationHours,TransplantingIrrigationSource,TransplantingIrrigationPowerSource,TransIrriCost,StandingWater,Ganaura,CropOrgFYM,PCropSolidOrgFertAppMethod,NoFertilizerAppln,BasalDAP,BasalUrea,MineralFertAppMethod,1tdUrea,1appDaysUrea,2tdUrea,2appDaysUrea,MineralFertAppMethod.1,Harv_method,Harv_date,Harv_hand_rent,Threshing_date,Threshing_method,Residue_length,Residue_perc,Stubble_use,Acre,LandPreparationMethodFourWheelTracRotavator,LandPreparationMethodOther,LandPreparationMethodTractorPlough,LandPreparationMethodWetTillagePuddling,NursDetFactorIrrigWaterAvailability,NursDetFactorLabourAvailability,NursDetFactorPreMonsoonShowers,NursDetFactorSeedAvailability,TransDetFactorIrrigWaterAvailability,TransDetFactorLaborAvailability,TransDetFactorRainArrival,TransDetFactorSeedlingAge,OrgFertilizersGanaura,OrgFertilizersGhanajeevamrit,OrgFertilizersPoultryManure,OrgFertilizersPranamrit,OrgFertilizersVermiCompost,CropbasalFertsNPK,CropbasalFertsNPKS,CropbasalFertsOther,CropbasalFertsSSP,CropbasalFertsUrea,FirstTopDressFertNPKS,FirstTopDressFertOther,FirstTopDressFertSSP,FirstTopDressFertUrea,Yield
Nalanda,Noorsarai,45,40,2022-07-20,5,Manual_PuddledRandom,2022-06-27,2022-07-21,2.0,5.0,Boring,Electric,200.0,2.0,,,,2,,20.0,Broadcasting,15.0,18.0,,,Broadcasting,machine,2022-11-16,,2022-11-16,machine,30,40,plowed_in_soil,0.3125,True,False,True,False,True,False,False,True,True,True,True,True,,,,,,False,False,False,False,True,False,False,False,True,600
Nalanda,Rajgir,26,26,2022-07-18,5,Manual_PuddledRandom,2022-06-20,2022-07-20,2.0,5.0,Boring,Electric,125.0,3.0,,,,2,15.0,10.0,Broadcasting,20.0,39.0,,,Broadcasting,hand,2022-11-25,3.0,2022-12-24,machine,24,10,plowed_in_soil,0.3125,True,False,True,True,True,True,True,True,True,True,True,True,,,,,,False,False,False,False,True,False,False,False,True,600
Gaya,Gurua,10,10,2022-06-30,6,Manual_PuddledRandom,2022-06-20,2022-08-13,2.0,4.0,Boring,Electric,80.0,2.0,1.0,1.0,SoilApplied,2,4.0,,SoilApplied,5.0,65.0,,,RootApplication,hand,2022-12-12,480.0,2023-01-11,machine,30,10,plowed_in_soil,0.1481481481481481,True,False,True,False,True,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,225
Gaya,Gurua,15,15,2022-06-16,6,Manual_PuddledRandom,2022-06-17,2022-07-17,2.0,,,,,,1.0,,SoilApplied,2,6.0,3.0,Broadcasting,5.0,5.0,,,Broadcasting,hand,2022-12-02,240.0,2022-12-29,hand,26,10,plowed_in_soil,0.2222222222222222,True,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,468
Nalanda,Noorsarai,60,60,2022-07-19,4,Manual_PuddledRandom,2022-06-21,2022-07-20,2.0,9.0,Boring,Electric,300.0,2.0,,,,2,15.0,30.0,Broadcasting,30.0,26.0,,,Broadcasting,machine,2022-11-30,,2022-12-02,machine,24,40,plowed_in_soil,0.46875,False,False,True,True,True,False,False,True,True,True,True,True,,,,,,False,False,False,False,True,False,False,False,True,550
Vaishali,Garoul,10,5,2022-07-02,6,Manual_PuddledLine,2022-06-15,2022-07-06,1.0,1.0,Boring,Electric,,3.0,,5.0,SoilApplied,2,6.0,,SoilApplied,6.0,30.0,,,Broadcasting,hand,2022-10-24,600.0,2022-11-04,hand,30,10,plowed_in_soil,0.1363636363636364,False,False,True,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,205
Jamui,Khaira,12,12,2022-07-23,3,Manual_PuddledRandom,2022-07-05,2022-07-30,4.0,1.0,Canal,,,6.0,1.0,,SoilApplied,3,3.0,,Broadcasting,4.0,28.0,6.0,67.0,Broadcasting,hand,2022-11-04,130.0,2022-12-08,machine,25,10,plowed_in_soil,0.1363636363636364,False,False,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,270
Nalanda,Rajgir,80,80,2022-06-27,4,Broadcasting,,2022-07-22,,5.0,Boring,Electric,,3.0,,,,2,15.0,8.0,Broadcasting,15.0,35.0,,,Broadcasting,machine,2022-12-05,,2022-12-06,hand,25,40,plowed_in_soil,0.25,True,False,False,False,,,,,,,,,,,,,,False,False,False,False,True,False,False,False,True,490
Jamui,Khaira,25,25,2022-07-24,4,Manual_PuddledRandom,2022-07-09,2022-08-02,4.0,2.0,Canal,,,5.0,,2.0,SoilApplied,3,5.0,,Broadcasting,5.0,20.0,7.0,58.0,Broadcasting,hand,2022-11-07,130.0,2022-12-15,machine,26,10,plowed_in_soil,0.2272727272727273,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,425
Nalanda,Noorsarai,20,10,2022-07-14,5,Manual_PuddledRandom,2022-06-27,2022-07-16,3.0,2.0,Boring,Electric,100.0,1.0,,,,2,,10.0,Broadcasting,5.0,20.0,,,Broadcasting,hand,2022-10-29,80.0,2022-11-14,hand,22,10,plowed_in_soil,0.15625,False,False,False,True,True,False,False,True,True,True,True,True,,,,,,False,False,False,False,True,False,False,False,True,300
